N°,id,status,all_images,aired_episodes,seen_episodes,up_to_date,runtime,name
255,315500,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/315500/62668301-0-optimized.jpg,12,0,False,23,Saga of Tanya the Evil
256,316815,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/316815/1274153-0-optimized.jpg,12,0,False,25,Magical Girl Raising Project
257,316842,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/316842/1228115-0-optimized.jpg,24,0,False,25,The Ancient Magus' Bride
258,317004,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/317004/1175150-0-optimized.jpg,12,0,False,23,Yuri!!! on Ice
260,317828,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/317828/1215322-0-optimized.jpg,12,0,False,25,Grimoire of Zero
261,317866,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/317866/1161685-0-optimized.jpg,12,0,False,5,Hagane Orchestra
262,318161,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/318161/1261920-0-optimized.jpg,25,0,False,25,Little Witch Academia
263,318893,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/318893/62932499-0-optimized.jpg,25,0,False,24,Miss Kobayashi's Dragon Maid
264,318950,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/318950/1196212-0-optimized.jpg,12,0,False,25,Akashic Records of Bastard Magic Instructor
265,319232,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/319232/1296818-0-optimized.jpg,32,14,False,45,BTS: Bon Voyage
266,319357,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/319357/1320632-0-optimized.jpg,8,0,False,28,Kubikiri Cycle: Aoiro Savant to Zaregoto Tsukai
267,319983,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/319983/1173535-0-optimized.jpg,12,0,False,25,ACCA: 13-Territory Inspection Dept.
268,321532,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/321532/1198899-0-optimized.jpg,24,0,False,25,Tsugumomo
270,321691,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/321691/1210788-0-optimized.jpg,12,0,False,25,DIVE!!
271,323168,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/323168/1182192-0-optimized.jpg,49,26,False,57,13 Reasons Why
272,325091,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/325091/62816479-0-optimized.jpg,155,0,False,35,Run BTS!
273,325208,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/325208/1236552-0-optimized.jpg,12,0,False,25,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?
276,327014,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/327014/1264240-0-optimized.jpg,24,0,False,25,Welcome to the Ballroom
277,327261,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/327261/1226329-0-optimized.jpg,60,0,False,5,Please Take My Brother Away
278,327417,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/327417/62719942-0-optimized.jpg,41,36,False,65,Money Heist
280,328399,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/328399/1270750-0-optimized.jpg,26,0,False,25,Mirai Nikki
281,329065,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/329065/1208126-0-optimized.jpg,32,0,False,25,Castlevania
282,329822,Upcoming,https://dg31sz3gwrwan.cloudfront.net/poster/329822/1214104-0-optimized.jpg,12,0,False,25,Classroom of the Elite
283,330139,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/330139/1258927-0-optimized.jpg,13,0,False,25,Violet Evergarden
284,331753,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/331753/1229187-0-optimized.jpg,170,0,False,25,Black Clover
